Currency,Country,Latitude,Longitude
USD,American Samoa,-14.270972,-170.132217
EUR,Austria,47.516231,14.550072
AUD,Australia,-25.274398,133.775136
EUR,Belgium,50.503887,4.469936
BGN,Bulgaria,42.733883,25.48583
BRL,Brazil,-14.235004,-51.92528
CAD,Canada,56.130366,-106.346771
CHF,Switzerland,46.818188,8.227512
CNY,China,35.86166,104.195397
EUR,Cyprus,35.126413,33.429859
CZK,Czech Republic,49.817492,15.472962
EUR,Germany,51.165691,10.451526
DKK,Denmark,56.26392,9.501785
USD,Ecuador,-1.831239,-78.183406
EUR,Estonia,58.595272,25.013607
EUR,Spain,40.463667,-3.74922
EUR,Finland,61.92411,25.748151
EUR,France,46.227638,2.213749
GBP,United Kingdom,55.378051,-3.435973
EUR,Greece,39.074208,21.824312
USD,Guam,13.444304,144.793731
HKD,Hong Kong,22.396428,114.109497
EUR,Croatia,45.1,15.2
HUF,Hungary,47.162494,19.503304
IDR,Indonesia,-0.789275,113.921327
EUR,Ireland,53.41291,-8.24389
ILS,Israel,31.046051,34.851612
INR,India,20.593684,78.96288
ISK,Iceland,64.963051,-19.020835
EUR,Italy,41.87194,12.56738
JPY,Japan,36.204824,138.252924
KRW,South Korea,35.907757,127.766922
EUR,Lithuania,55.169438,23.881275
EUR,Luxembourg,49.815273,6.129583
EUR,Latvia,56.879635,24.603189
USD,Northern Mariana Islands,17.33083,145.38469
EUR,Malta,35.937496,14.375416
USD,Mexico,23.634501,-102.552784
MYR,Malaysia,4.210484,101.975766
EUR,Netherlands,52.132633,5.291266
NOK,Norway,60.472024,8.468946
NZD,New Zealand,-40.900557,174.885971
USD,Panama,8.537981,-80.782127
PHP,Philippines,12.879721,121.774017
PLN,Poland,51.919438,19.145136
USD,Puerto Rico,18.220833,-66.590149
EUR,Portugal,39.399872,-8.224454
RON,Romania,45.943161,24.96676
SEK,Sweden,60.128161,18.643501
SGD,Singapore,1.352083,103.819836
EUR,Slovenia,46.151241,14.995463
EUR,Slovakia,48.669026,19.699024
USD,El Salvador,13.794185,-88.89653
THB,Thailand,15.870032,100.992541
USD,Timor-Leste,-8.874217,125.727539
TRY,Turkey,38.963745,35.243322
USD,United States,37.09024,-95.712891
USD,U.S. Virgin Islands,18.335765,-64.896335
ZAR,South Africa,-30.559482,22.937506